category_id,name,slug,category_img_url
249,Nhà cửa & Vườn,nha-cua-vuon,https://image.iuhkart.systems/images/nha-cua-vuon.png?preview=true
229,Đồ gia dụng,do-gia-dung,https://image.iuhkart.systems/images/do-gia-dung.png?preview=true
239,Quần áo nữ,quan-ao-nu,https://image.iuhkart.systems/images/quan-ao-nu.png?preview=true
232,Sắc đẹp & Sức khỏe,sac-dep-suc-khoe,https://image.iuhkart.systems/images/sac-dep-suc-khoe.png?preview=true
228,Mẹ & Bé,me-be,https://image.iuhkart.systems/images/me-be.png?preview=true
233,Nội thất,noi-that,https://image.iuhkart.systems/images/noi-that.png?preview=true
241,Giày,giay,https://image.iuhkart.systems/images/giay.png?preview=true
245,Đồng hồ,dong-ho,https://image.iuhkart.systems/images/dong-ho.png?preview=true
234,Hành lý & Túi xách,hanh-ly-tui-xach,https://image.iuhkart.systems/images/hanh-ly-tui-xach.png?preview=true
231,"Trang sức, Đồng hồ & Phụ kiện",trang-suc-dong-ho-phu-kien,https://image.iuhkart.systems/images/trang-suc-dong-ho-phu-kien.png?preview=true
248,Trang phục dịp đặc biệt,trang-phuc-dip-dac-biet,https://image.iuhkart.systems/images/trang-phuc-dip-dac-biet.png?preview=true
230,Đám cưới & Sự kiện,dam-cuoi-su-kien,https://image.iuhkart.systems/images/dam-cuoi-su-kien.png?preview=true
235,Ô tô & Xe máy,o-to-xe-may,https://image.iuhkart.systems/images/o-to-xe-may.png?preview=true
240,Quần áo nam,quan-ao-nam,https://image.iuhkart.systems/images/quan-ao-nam.png?preview=true
243,Đồ chơi & Trò chơi,do-choi-tro-choi,https://image.iuhkart.systems/images/do-choi-tro-choi.png?preview=true
244,Dụng cụ & Công nghiệp,dung-cu-cong-nghiep,https://image.iuhkart.systems/images/dung-cu-cong-nghiep.png?preview=true
237,Đồ dùng cho thú cưng,do-dung-cho-thu-cung,https://image.iuhkart.systems/images/do-dung-cho-thu-cung.png?preview=true
246,An ninh & Bảo vệ,an-ninh-bao-ve,https://image.iuhkart.systems/images/an-ninh-bao-ve.png?preview=true
242,Thể thao & Giải trí,the-thao-giai-tri,https://image.iuhkart.systems/images/the-thao-giai-tri.png?preview=true
238,"Máy tính, Văn phòng & Giáo dục",may-tinh-van-phong-giao-duc,https://image.iuhkart.systems/images/may-tinh-van-phong-giao-duc.png?preview=true
247,Đồ lót & Đồ ngủ,do-lot-do-ngu,https://image.iuhkart.systems/images/do-lot-do-ngu.png?preview=true
250,Điện tử tiêu dùng,dien-tu-tieu-dung,https://image.iuhkart.systems/images/dien-tu-tieu-dung.png?preview=true
227,Cải tạo nhà & Chiếu sáng,cai-tao-nha-chieu-sang,https://image.iuhkart.systems/images/cai-tao-nha-chieu-sang.png?preview=true
236,Tóc giả & Tóc nối,toc-gia-toc-noi,https://image.iuhkart.systems/images/toc-gia-toc-noi.png?preview=true
226,Điện thoại & Viễn thông,dien-thoai-vien-thong,https://image.iuhkart.systems/images/dien-thoai-vien-thong.png?preview=true
